Name,Row,Column,Label
A4_2X2_orthoT6.jpg,232,221,OUT
A4_2X2_orthoT6.jpg,232,665,Lobo_fol
A4_2X2_orthoT6.jpg,232,1109,Lobo_fol
A4_2X2_orthoT6.jpg,232,1553,Sedturfrub
A4_2X2_orthoT6.jpg,232,1997,Sedturfrub
A4_2X2_orthoT6.jpg,232,2441,Sar_pac
A4_2X2_orthoT6.jpg,232,2885,Sar_pac
A4_2X2_orthoT6.jpg,232,3329,Tur_orn
A4_2X2_orthoT6.jpg,232,3773,CCA
A4_2X2_orthoT6.jpg,232,4217,Sed_turf
A4_2X2_orthoT6.jpg,232,4661,Lobo_fol
A4_2X2_orthoT6.jpg,232,5105,Cage
A4_2X2_orthoT6.jpg,232,5549,Acantha
A4_2X2_orthoT6.jpg,232,5993,Cage
A4_2X2_orthoT6.jpg,232,6438,Cage
A4_2X2_orthoT6.jpg,699,221,Cage
A4_2X2_orthoT6.jpg,699,665,Lobo_fol
A4_2X2_orthoT6.jpg,699,1109,Sed_turf
A4_2X2_orthoT6.jpg,699,1553,Lobo_enc
A4_2X2_orthoT6.jpg,699,1997,Lobo_fol
A4_2X2_orthoT6.jpg,699,2441,Phyma
A4_2X2_orthoT6.jpg,699,2885,Lobo_fol
A4_2X2_orthoT6.jpg,699,3329,Tur_orn
A4_2X2_orthoT6.jpg,699,3773,Tur_orn
A4_2X2_orthoT6.jpg,699,4217,Tur_orn
A4_2X2_orthoT6.jpg,699,4661,Lobo_fol
A4_2X2_orthoT6.jpg,699,5105,Lobo_fol
A4_2X2_orthoT6.jpg,699,5549,Lobo_fol
A4_2X2_orthoT6.jpg,699,5993,Lobo_enc
A4_2X2_orthoT6.jpg,699,6438,Monti
A4_2X2_orthoT6.jpg,1166,221,Cage
A4_2X2_orthoT6.jpg,1166,665,Lobo_fol
A4_2X2_orthoT6.jpg,1166,1109,Hal_sp
A4_2X2_orthoT6.jpg,1166,1553,Lobo_fol
A4_2X2_orthoT6.jpg,1166,1997,Lobo_fol
A4_2X2_orthoT6.jpg,1166,2441,Tur_orn
A4_2X2_orthoT6.jpg,1166,2885,Sed_turf
A4_2X2_orthoT6.jpg,1166,3329,Lobo_fol
A4_2X2_orthoT6.jpg,1166,3773,Lobo_fol
A4_2X2_orthoT6.jpg,1166,4217,Sed_turf
A4_2X2_orthoT6.jpg,1166,4661,Pavona
A4_2X2_orthoT6.jpg,1166,5105,Pavona
A4_2X2_orthoT6.jpg,1166,5549,Tur_orn
A4_2X2_orthoT6.jpg,1166,5993,Lobo_enc
A4_2X2_orthoT6.jpg,1166,6438,Lobo_fol
A4_2X2_orthoT6.jpg,1632,221,Cage
A4_2X2_orthoT6.jpg,1632,665,Lobo_fol
A4_2X2_orthoT6.jpg,1632,1109,Sed_turf
A4_2X2_orthoT6.jpg,1632,1553,Lobo_fol
A4_2X2_orthoT6.jpg,1632,1997,Lobo_fol
A4_2X2_orthoT6.jpg,1632,2441,Sed_turf
A4_2X2_orthoT6.jpg,1632,2885,Hal_sp
A4_2X2_orthoT6.jpg,1632,3329,Pad_bor
A4_2X2_orthoT6.jpg,1632,3773,Sed_turf
A4_2X2_orthoT6.jpg,1632,4217,Lobo_enc
A4_2X2_orthoT6.jpg,1632,4661,Pavona
A4_2X2_orthoT6.jpg,1632,5105,Tur_orn
A4_2X2_orthoT6.jpg,1632,5549,Tur_orn
A4_2X2_orthoT6.jpg,1632,5993,Lobo_enc
A4_2X2_orthoT6.jpg,1632,6438,Lobo_enc
A4_2X2_orthoT6.jpg,2099,221,Cage
A4_2X2_orthoT6.jpg,2099,665,Sed_turf
A4_2X2_orthoT6.jpg,2099,1109,Sed_turf
A4_2X2_orthoT6.jpg,2099,1553,Lobo_fol
A4_2X2_orthoT6.jpg,2099,1997,Tur_orn
A4_2X2_orthoT6.jpg,2099,2441,Enc_cor
A4_2X2_orthoT6.jpg,2099,2885,Lobo_enc
A4_2X2_orthoT6.jpg,2099,3329,Tur_orn
A4_2X2_orthoT6.jpg,2099,3773,Lobo_enc
A4_2X2_orthoT6.jpg,2099,4217,Tur_orn
A4_2X2_orthoT6.jpg,2099,4661,Lobo_enc
A4_2X2_orthoT6.jpg,2099,5105,CCA
A4_2X2_orthoT6.jpg,2099,5549,Lobo_fol
A4_2X2_orthoT6.jpg,2099,5993,Lobo_fol
A4_2X2_orthoT6.jpg,2099,6438,Pavona
A4_2X2_orthoT6.jpg,2566,221,Cage
A4_2X2_orthoT6.jpg,2566,665,Lobo_fol
A4_2X2_orthoT6.jpg,2566,1109,Lobo_fol
